dataset_name,dataset_year,task_type,sample_id,input_text,reference_output
CCSum,2024,summarization,0,Volkswagen creating first innovation hub in North America,Volkswagen officials say they are partnering with the University of Tennessee and the Oak Ridge National Laboratory to create the company's first innovation hub for developing new technology in North America.
CCSum,2024,summarization,1,"Amid Sex Abuse Scandals, Vatican Upholds Confession Secrecy","Amid pedophile clergy scandals, the Vatican is declaring “unacceptable” any efforts by politicians or lawmakers to make priests violate their obligation to keep secret what penitents tell them in confession."
CCSum,2024,summarization,2,Four UN troops killed in central Mali mine blast,Four UN peacekeepers were killed and four were wounded on Wednesday when a mine exploded under their vehicle in central Mali in a deliberate attack.
CCSum,2024,summarization,3,"Nikhat Zareen, Gaurav Solanki settle for bronze at Bosphorus Boxing Tournament",Indian boxers Nikhat Zareen and Gaurav Solanki ended up with a bronze medal each as both lost their semifinal bouts on Friday at the Bosphorus Boxing Tournament in Turkey.
CCSum,2024,summarization,4,Australia recognizes west Jerusalem as Israel's capital,"Australia now recognizes west Jerusalem as Israel’s capital, Prime Minister Scott Morrison said Saturday, but a contentious embassy shift from Tel Aviv will not occur until a peace settlement is achieved."
CCSum,2024,summarization,5,First lady visits cuddling program for babies born on drugs,First lady Melania Trump visited a Boston hospital Wednesday to meet with caregivers and administrators of a pioneering program that uses cuddling to help infants who are born dependent on drugs or alcohol.
CCSum,2024,summarization,6,Lead Pharma Enters into a Research Collaboration and License Agreement with Roche to Develop Oral Small Molecules for Immune Mediated Diseases,Lead Pharma has signed a collaboration and license agreement with Roche for the development of oral small molecules to treat a range of immune-mediated diseases.
CCSum,2024,summarization,7,"Man kidnapped, tied to tree naked; 2 suspects arrested: Police",A New Hampshire man has been accused of kidnapping a Manchester man at knife point and leaving him naked and tied to a tree.
CCSum,2024,summarization,8,Ohio city reaches $10 million settlement over police killing of Black man,"Ohio's capital city has agreed to pay a $10 million settlement to the family of Andre Hill, an unarmed black man who was shot dead by a white Columbus police officer as he emerged from a garage holding a cellphone."
CCSum,2024,summarization,9,Iran's Rouhani says wider talks with U.S. possible if 2015 deal implemented,"Iranian President Hassan Rouhani, says on Thursday that his country can discuss other issues with the U.S. providing its 2015 nuclear deal with six powers is fully implemented."
CCSum,2024,summarization,10,"Amit Shah says Article 370 to go, J&K no more a state","In an announcement that triggered massive chaos in the Rajya Sabha, Home Minister Amit Shah announced that the government has decided to repeal Article 370 of the Constitution which grants special status to Jammu and Kashmir."
CCSum,2024,summarization,11,Disha Ravi moves HC to restrain police from leaking info,"Disha Ravi, the climate activist from Bengaluru who was arrested for her alleged role in sharing a 'toolkit' related to farmers protest, moved the Delhi High Court on Thursday seeking directions to Delhi police to restrain them from leaking any case-related probe materials to the media."
CCSum,2024,summarization,12,Israeli spacecraft Beresheet reaches moon but landing unsuccessful: support team,"The Israeli spacecraft Beresheet crashed onto the moon on Thursday after a series of technical failures during its final descent, shattering hopes of a historic controlled landing on the lunar surface."
CCSum,2024,summarization,13,Man sentenced to life in prison for killing college student who mistook his car for Uber,A South Carolina man was sentenced to life in prison for killing a college student from New Jersey who mistook his vehicle for her Uber.
CCSum,2024,summarization,14,Palestinian teen Ahed Tamimi on trial for striking Israeli soldier agrees to plea deal: Israeli media,"A teenage girl who became a global symbol of Palestinian resistance after being filmed slapping an Israeli soldier in the occupied West Bank has accepted a plea deal under which she will be sentenced to eight months in prison, Israeli media reported on Wednesday."
CCSum,2024,summarization,15,Robert Iger to Step Down as Disney CEO,"Disney CEO Bob Iger, who steered the company through successful purchases of Star Wars, Marvel and Fox’s entertainment businesses, is stepping down immediately, the company said in a surprise announcement Tuesday."
CCSum,2024,summarization,16,Vanessa Bryant Files Wrongful Death Lawsuit Against Helicopter Operator in Fatal Crash,"Attorneys for Vanessa Bryant reportedly have filed a wrongful death lawsuit against the company that operated the helicopter that crashed last month and killed her husband, daughter and seven others."
CCSum,2024,summarization,17,Yes Bank shares plunge nearly 10 per cent amid capital infusion,"The board of private lender Yes Bank is willing to favorably consider the offer of USD 500 million investment of Citax Holdings and Citax Investment Group, the bank said on Tuesday."
CCSum,2024,summarization,18,"Prince Harry, Meghan to give up ‘royal highness’ titles","Prince Harry and his wife, Meghan, will no longer use “royal highness” titles and won’t receive public money for their royal duties, Buckingham Palace said Saturday."
CCSum,2024,summarization,19,"Loughlin, Giannulli to fight new charges in admissions case","Attorneys for Loughlin and her husband, fashion designer Mossimo Giannulli, filed court documents Friday saying the couple plans to plead not guilty to charges of conspiracy to commit federal program bribery."
